,ocf 대 유동부채,비유동장기적합률,자기자본순이익률,자기자본회전률,차입금의존도,총자본영업이익률,총자산순이익률,총자산영업이익률,총자산회전율,부도여부
4075,-0.012383169902739572,109.4,-47.64,3.88,37.26,-6.59,-0.14719116638608154,-0.06699207488490581,1.180784012919632,0.0
4076,0.01877024311858621,111.24,3.62,3.48,28.19,3.49,0.010476270047881188,0.032843646310604165,1.071508692843663,0.0
4077,-0.16124462294395253,73.15,9.2,2.82,33.77,2.1,0.030540608039472488,0.019340614150148462,1.0185110116190397,0.0
4078,0.012274760913425777,78.87,7.64,2.3,39.63,2.93,0.03221887733221252,0.030558698993678607,0.9309166879791316,0.0
4079,0.11254544733459547,75.54,-39.06,2.17,35.12,-10.64,-0.1634314143993479,-0.10653889172537444,0.9067910758586908,0.0
4081,0.4551869063091961,45.16,6.66,1.15,0.63,5.85,0.05585733334312978,0.0570016064602819,0.9882116366682212,0.0
4082,0.42482376024064106,41.31,2.34,1.28,0.6,1.88,0.019720663354965952,0.018581991134504684,1.0932683279416309,0.0
4083,1.4149234344221555,42.12,12.28,1.39,0.38,13.22,0.09615598548821902,0.12405285025911825,1.1630081790500788,0.0
4084,0.4745881939766695,45.82,10.85,1.34,4.93,8.12,0.08239168159515389,0.07573316817506466,1.0903739318212209,0.0
4085,0.5792676259545384,58.11,14.19,1.38,4.73,10.54,0.10465679534187904,0.09819278585284408,1.0908604848212944,0.0
4086,1.2193844695306777,51.28,12.56,1.2,1.98,10.38,0.10058107004120018,0.10181661238735427,0.980329558956527,0.0
4087,0.7907820136474188,55.07,8.99,0.98,3.93,7.62,0.0729693360443484,0.07334987456865008,0.8308118262023058,0.0
4088,0.6548013922406892,55.79,4.25,0.94,2.45,3.81,0.03632662904383916,0.03817839435688351,0.8029518149994026,0.0
4089,0.8091260317936536,42.41,4.98,0.96,3.92,4.08,0.041647029406177434,0.03980942822522559,0.8191578027810396,0.0
4090,0.8710815223449492,41.22,11.38,0.9,3.62,5.9,0.0913140321171166,0.056086828626398064,0.7565034522728502,0.0
4092,0.15365007263966338,123.45,4.6,2.47,47.71,4.43,0.01565630935495428,0.0451436897725296,0.8244585751149148,0.0
4093,0.07754729587407648,119.84,3.33,2.56,44.23,3.56,0.011205509417995837,0.035113763662390905,0.8727290716889109,0.0
4094,0.1247945158217154,117.16,4.54,2.54,44.98,4.18,0.015699118493315362,0.04180176046071518,0.8768181469157063,0.0
4095,0.11201382425954484,126.96,5.85,2.79,44.14,3.31,0.018843591151109854,0.03126622839605155,0.9504255251517776,0.0
4096,0.02906197114678725,129.15,8.46,3.17,48.81,4.56,0.025155113996078338,0.04298970354765575,0.9975800763806916,0.0
4097,0.2609202548935384,114.5,9.43,3.09,42.65,4.09,0.03075108484101042,0.0418579759064583,0.9833016287476262,0.0
4098,0.27024711058149664,113.37,10.04,3.14,36.68,5.61,0.03497578884294837,0.05556840006248996,1.1044439332681848,0.0
4099,0.03263104417455777,108.8,11.91,2.89,38.34,6.33,0.04150020730430309,0.06027403771760486,1.0566486241315778,0.0
4100,0.1560525472892035,105.93,7.36,2.77,35.97,6.72,0.027633493775076692,0.0668448500613667,1.0451529435337206,0.0
4101,0.3940499159368969,102.08,14.29,2.5,31.97,9.95,0.0558493683459411,0.09627533487317312,1.011170857232395,0.0
4103,-0.3619836889152272,47.01,-4.86,0.46,0.0,-8.3,-0.029957378620324795,-0.06219165630814107,0.3776573583946772,0.0
4104,0.9163978553612312,31.25,-18.98,0.39,0.0,-4.3,-0.1887384183041996,-0.04831459569231142,0.3485091370258889,0.0
4105,-0.1244862538601888,35.3,-12.13,0.35,0.0,-3.07,-0.11170182570071363,-0.03155884997584377,0.3166623335729642,0.0
4106,-0.15043039221896706,56.4,6.05,0.32,0.0,-0.54,0.04294222718129514,-0.004548252828737198,0.269593575223815,0.0
4107,-0.0014642829856212705,61.05,-1.16,0.35,0.0,1.22,-0.008467982062033894,0.01181774959305,0.2636574730865986,0.0
4108,0.055959429360663365,29.84,-15.45,0.27,0.0,-3.26,-0.15042025713091045,-0.04121056782292738,0.20989503059330605,0.0
4109,-0.5807295660345072,47.22,-0.11,0.3,0.0,-8.4,-0.001079184316043604,-0.09002163917912867,0.2765402006300002,0.0
4110,0.6970156154934996,89.18,-32.57,0.31,0.0,-3.83,-0.2971776233011184,-0.0390003035723565,0.2739420537655007,0.0
4111,-5.403279081092073,61.65,10.83,0.76,4.11,0.82,0.07690110484882738,0.006781065095258472,0.6510805231021063,0.0
4112,-0.8971921840605034,51.14,-0.23,0.33,12.54,-0.44,-0.0015907257279721384,-0.0035972843758110213,0.2721906128996873,0.0
4114,0.8097923456976401,99.45,11.49,1.34,26.7,5.0,0.05866882113097985,0.04600789871997163,0.7442960758455024,0.0
4115,0.20888119959787896,95.75,1.92,1.41,33.29,6.38,0.009313411650396172,0.057863656821938024,0.7512515345993785,0.0
4116,0.5568296349423726,117.93,13.63,1.2,29.85,8.86,0.07128379626066322,0.08526649224834383,0.6543071730251925,0.0
4117,0.4472414514878607,107.72,14.09,1.28,29.43,9.49,0.07363597694922577,0.08960904463410715,0.708747831999943,0.0
4118,0.3839743433883737,100.08,12.74,1.23,28.23,8.1,0.06601342118319019,0.07574179032877988,0.6813365485628223,0.0
4119,0.2010716195810134,106.34,3.46,1.02,30.53,2.18,0.01788546855519916,0.020935660272089162,0.5484916115251143,0.0
