,ocf 대 유동부채,비유동장기적합률,자기자본순이익률,자기자본회전률,차입금의존도,총자본영업이익률,총자산순이익률,총자산영업이익률,총자산회전율
17840,3.4010858586432677,-0.9201249931473057,0.5574963609898108,-0.558282208588957,-0.6114162090198036,1.029850746268657,1.0377441855415155,1.017874732096476,-0.5229303606721143
9066,0.5467647104111101,-0.15591250479688615,0.2132459970887919,0.687116564417178,0.11615909469129646,1.1094527363184084,0.13322562271922175,1.1318643636820345,0.7242640096434156
1017,-1.2240926390232538,-0.5208047804396689,0.47452692867540036,-0.23926380368098155,-0.2785821268097853,0.5559701492537313,0.6897266085714301,0.620112327194215,-0.11481560379379098
1094,0.3338557358906229,0.04648867934872002,0.141193595342067,-0.6748466257668712,-0.619404226992844,-0.3917910447761194,0.3701276619372015,-0.3997043650978091,-0.8354092492919123
11450,0.6711024698061784,-1.0617838934268957,0.20960698689956334,-0.0061349693251533804,-0.619404226992844,0.10074626865671638,0.2357370002969798,0.08742309888595269,0.11406720865217425
16818,-0.30792747331427855,1.5411435776547338,2.8340611353711793,2.865030674846626,0.6869695456814777,1.82089552238806,1.262783863964182,1.5970055652663946,1.996566490715441
11375,-0.3324826032345424,0.2820020832191218,-8.87845705967977,-0.6932515337423313,-0.3511399567315693,-1.218905472636816,-25.609416189406897,-2.116390225032546,-0.8728388087797649
8448,-2.517559571627123,1.6262266323118255,-15.9745269286754,-0.8098159509202454,-0.3877517057746713,-7.024875621890549,-12.449496064584556,-7.9807729467990525,-1.1960397383278123
13757,-0.5876379465676166,-0.7306616961789377,-0.7954876273653567,-0.3558282208588957,-0.09219504077217505,-1.1504975124378112,-0.8893463753094055,-1.2179251144494627,-0.2917230262976775
458,0.542194709486292,0.3933994846773752,-0.24017467248908297,-0.5950920245398773,-0.2316525212181727,-0.3097014925373135,-0.18897907194320795,-0.30031030066822934,-0.7875976788898601
17360,1.2586828907720118,-0.19143687297845524,2.7794759825327513,2.6625766871165646,-0.38708603761025123,1.643034825870647,1.353443403701214,1.1280899581624801,2.6748411914362933
19211,-0.08557349410526399,-1.0828353708678253,1.0633187772925765,0.3067484662576687,-0.619404226992844,1.5708955223880599,1.0812924460558013,1.2868772751172994,0.8737740424920416
19185,0.1273241779308411,1.1093690038923307,-0.30713245997088795,1.656441717791411,0.9938425694791145,0.08582089552238811,-0.3166704523911547,0.14718093954494912,0.7454297988033279
10801,0.3478435703171813,0.5626884490981854,-0.6128093158660844,0.2085889570552148,0.0971875520053254,-1.0323383084577116,-0.5632522417532525,-1.0665391157783726,0.18407342940188856
16889,3.386524115393335,-0.48418398114138483,0.34352256186317326,-0.3558282208588957,-0.619404226992844,1.4278606965174132,0.695337181171709,1.4254033340471963,-0.0839313408968708
1092,1.3086590067418251,0.10350309741790471,0.4177583697234352,-0.48466257668711654,-0.6027625228823431,-0.07960199004975127,0.6745159022821638,-0.09104064875617485,-0.4616153056386331
17653,2.6409570046035773,-1.219450688010526,3.7772925764192142,-0.061349693251533666,-0.619404226992844,5.940298507462687,3.687409237929357,4.790341098249386,0.25516359144233514
14244,-0.1885314064254723,1.1784441642453813,-2.013100436681223,0.7607361963190186,0.8111166583458145,-0.33084577114427866,-1.1603635476272904,-0.3485085423047362,0.04955972440079641
3989,0.2132463150495603,0.0,0.9934497816593889,1.3067484662576687,1.0996838076219004,0.3669154228855722,0.3984600908443951,0.3858677234405276,0.5574345964609073
15071,-0.23701429749184846,1.383038210624418,-0.9475982532751093,0.41104294478527603,0.9009818605425195,-0.5895522388059702,-0.7958316357246792,-0.610270886505712,0.13207891309479872
3326,0.24303591785858714,5.464174113261335,8.572780203784571,3.7607361963190193,1.0650690630720585,0.5385572139303482,1.2949244764850785,0.7189871006838752,-0.13682112588736192
9058,-0.08119520800473407,0.8313140726933831,0.5356622998544397,1.4969325153374233,0.9572308204360125,-0.16791044776119407,0.08995874706212735,-0.18552815362303177,0.6016848497882505
14867,-1.0042022792081606,-0.04648867934872002,-2.606986899563319,-0.5705521472392638,0.4989182892328175,-1.8333333333333333,-2.9614390767817693,-2.1147926317764023,-0.7922743216984015
2075,0.05655065300483373,0.8435941012005922,0.1339155749636099,3.5828220858895707,0.9402562822433017,-0.19900497512437815,-0.25394162689465183,-0.1486431798370755,-0.07050437798115969
683,-0.19124634918383043,0.29515925661970277,0.32823871906841345,2.1472392638036815,1.0650690630720585,0.7711442786069653,-0.051051800243449935,0.763418306006875,0.7892792874199502
7191,-1.0229069362815746,1.2001535003563404,-1.9752547307132462,1.3374233128834359,0.9059743717756698,-1.1156716417910448,-1.436253415191351,-1.2061199264682356,0.815316857996109
17370,1.2407290876975137,-1.2016885039197414,1.7845705967976713,0.9693251533742332,-0.601431186553503,2.2860696517412937,1.678978662402262,1.9084986657827119,1.8814237604739428
13697,-0.5624747579916908,1.9623924126966725,0.25618631732168856,0.588957055214724,1.6139124646363785,0.050995024875621915,-0.1300136213868859,0.035323704107026926,-0.4330422692583308
5196,0.44464690183306604,0.935036456334631,0.10043668122270742,0.5276073619631901,0.8989848560492594,0.14676616915422883,-0.04938517087720544,0.1555591682613691,0.10648453930313524
4767,0.09306514800583329,0.012718600953895036,0.6419213973799127,2.2392638036809815,-0.5658179397570311,0.355721393034826,0.2971937070309577,0.252797096047389,2.2558774503134384
9934,-0.6254269790499994,0.8128940299325694,-12.502183406113538,-0.21472392638036802,0.2339823597936429,-1.560945273631841,-26.51946976700593,-2.582129198083962,-0.10672744650007121
7700,-0.9061344671758075,0.9990680335507924,-1.4068413391557497,-0.638036809815951,-0.0785488434015643,-1.4738805970149256,-1.576767563014885,-1.5564985330710401,-0.8484680774266262
10675,0.1742111148968592,0.07214516747985322,0.5887918486171762,2.625766871165644,0.6437011149941755,0.715174129353234,0.051142930685521074,0.7662939519604076,0.9456791754644961
9997,0.2630402026986638,-0.4580889205635657,-7.596797671033481,-0.16564417177914112,0.5871193210184723,-2.711442786069652,-8.158016270716743,-3.585577039829801,-0.3996166635939108
1993,-0.272655371485057,0.6828572994901596,-0.0487627365356623,0.7914110429447854,0.08820103178565492,-0.1318407960199005,-0.1511213133307669,-0.13024536901775863,0.31918146232705685
17634,0.5998556525621571,1.6143851762513022,1.935953420669578,0.7668711656441718,0.9718755200532535,1.5037313432835822,0.9378152152733578,1.3603996414192672,0.282000290935216
14738,-0.6338370723232054,0.851049832794255,-2.4505094614264924,0.1717791411042945,1.0697287402229987,-1.7611940298507465,-1.7107444341487095,-1.8117234807261273,-0.22382059622131784
7790,2.143440458233463,-1.1109040074557317,0.9818049490538576,-0.23926380368098155,-0.6104177067731735,1.9776119402985075,1.4702048708411308,1.9205585811869255,0.10392272768583026
3147,22.794323165585908,0.511375472835919,0.3049490538573509,-0.1717791411042945,-0.619404226992844,0.2213930348258707,0.6724273533425748,0.586484634970299,-0.18173714835865334
8611,1.3811036035293014,0.3642344169727537,-1.1302765647743815,0.6012269938650308,1.6764852720918622,-0.21393034825870647,-0.6421938698973647,-0.1956847551727384,-0.47670513686000265
